CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,2011-01-18 10:01:00,326,1,77183.6,1,1,5,7,High Value At Risk
12347,2011-12-07 15:52:00,2,7,4310.0,5,5,5,15,Champions
12348,2011-09-25 13:13:00,75,4,1797.24,2,4,4,10,High Value At Risk
12349,2011-11-21 09:51:00,19,1,1757.55,4,1,4,9,New or Recent Customers
12350,2011-02-02 16:01:00,310,1,334.4,1,1,2,4,At Risk
12352,2011-11-03 14:37:00,36,8,2506.04,3,5,5,13,Champions
12353,2011-05-19 17:47:00,204,1,89.0,1,1,1,3,At Risk
12354,2011-04-21 13:11:00,232,1,1079.4,1,1,4,6,High Value At Risk
12355,2011-05-09 13:49:00,214,1,459.4,1,1,2,4,At Risk
12356,2011-11-17 08:40:00,23,3,2811.43,4,3,5,12,Potential Loyalists
12357,2011-11-06 16:07:00,33,1,6207.67,4,1,5,10,New or Recent Customers
12358,2011-12-08 10:26:00,2,2,1168.06,5,2,4,11,New or Recent Customers
12359,2011-10-13 12:47:00,58,4,6310.03,3,4,5,12,Potential Loyalists
12360,2011-10-18 15:22:00,52,3,2662.06,3,3,5,11,Potential Loyalists
12361,2011-02-25 13:51:00,287,1,189.9,1,1,1,3,At Risk
12362,2011-12-06 15:40:00,3,10,5226.23,5,5,5,15,Champions
12363,2011-08-22 10:18:00,110,2,552.0,2,2,3,7,At Risk
12364,2011-12-02 10:22:00,8,4,1313.1,5,4,4,13,Champions
12365,2011-02-21 14:04:00,291,2,641.38,1,2,3,6,At Risk
12367,2011-12-05 16:48:00,4,1,168.9,5,1,1,7,New or Recent Customers
12370,2011-10-19 14:51:00,51,4,3541.94,3,4,5,12,Potential Loyalists
12371,2011-10-26 10:16:00,45,2,1887.96,3,2,4,9,Potential Loyalists
12372,2011-09-29 12:12:00,72,3,1298.04,3,3,4,10,Potential Loyalists
12373,2011-02-01 13:10:00,311,1,364.6,1,1,2,4,At Risk
12374,2011-11-14 15:37:00,25,1,742.93,4,1,3,8,New or Recent Customers
12375,2011-11-29 10:36:00,11,2,457.5,5,2,2,9,New or Recent Customers
12377,2011-01-28 15:45:00,315,2,1628.12,1,2,4,7,High Value At Risk
12378,2011-08-02 10:34:00,130,1,4008.62,2,1,5,8,High Value At Risk
12379,2011-09-19 10:09:00,82,2,852.24,2,2,3,7,At Risk
12380,2011-11-18 11:27:00,22,4,2724.81,4,4,5,13,Champions
12381,2011-12-05 12:44:00,5,5,1845.31,5,4,4,13,Champions
12383,2011-06-08 08:02:00,185,5,1850.56,1,4,4,9,High Value At Risk
12384,2011-11-11 08:39:00,29,2,585.27,4,2,3,9,New or Recent Customers
12386,2011-01-06 12:37:00,338,2,401.9,1,2,2,5,At Risk
12388,2011-11-24 12:30:00,16,6,2780.66,4,4,5,13,Champions
12390,2011-09-21 09:33:00,80,1,549.84,2,1,3,6,At Risk
12391,2011-11-18 12:07:00,22,1,439.66,4,1,2,7,New or Recent Customers
12393,2011-09-28 15:41:00,72,4,1582.6,3,4,4,11,Potential Loyalists
12394,2011-10-07 08:08:00,64,2,1272.48,3,2,4,9,Potential Loyalists
12395,2011-11-20 15:21:00,19,12,3018.63,4,5,5,14,Champions
12397,2011-11-04 09:52:00,36,2,2409.9,3,2,5,10,Potential Loyalists
12398,2011-10-25 10:27:00,46,1,1635.66,3,1,4,8,Potential Loyalists
12399,2011-08-12 13:15:00,119,4,1108.65,2,4,4,10,High Value At Risk
12401,2011-02-09 13:50:00,303,1,84.3,1,1,1,3,At Risk
12402,2011-01-20 13:49:00,323,1,225.6,1,1,1,3,At Risk
12403,2011-10-21 10:51:00,50,1,427.7,3,1,2,6,Potential Loyalists
12405,2011-07-14 08:52:00,149,1,1710.39,2,1,4,7,High Value At Risk
12406,2011-11-17 19:22:00,22,2,3415.3,4,2,5,11,New or Recent Customers
12407,2011-10-21 10:11:00,50,5,1708.12,3,4,4,11,Potential Loyalists
12408,2011-11-07 12:27:00,33,5,2888.55,4,4,5,13,Champions
12409,2011-09-22 10:38:00,79,3,11072.67,2,3,5,10,High Value At Risk
12410,2011-02-04 10:39:00,309,2,693.33,1,2,3,6,At Risk
